Silt	Clay	Sand
0.3711	0.3689	0.2600

Layer	FC[V%]	PWP[V%]	POR[V%]	KS[mm/d]
1.0000	42.1400	13.8750	50.4300	170.4215
2.0000	40.1500	13.4350	48.6250	164.9100
3.0000	39.8100	13.6900	47.8000	153.8380
4.0000	40.1900	14.0700	44.7300	52.5190
5.0000	40.1900	14.0700	44.7300	52.5190
6.0000	40.1900	14.0700	44.7300	52.5190
7.0000	38.2500	14.3200	42.2000	42.1670
8.0000	38.2500	14.3200	42.2000	42.1670
9.0000	38.2500	14.3200	42.2000	42.1670
10.0000	38.2500	14.3200	42.2000	42.1670
11.0000	37.5400	13.9800	41.6000	46.8080
12.0000	37.5400	13.9800	41.6000	46.8080
13.0000	37.5400	13.9800	41.6000	46.8080
14.0000	37.5400	13.9800	41.6000	46.8080
15.0000	37.5400	13.9800	41.6000	46.8080
16.0000	37.5400	13.9800	41.6000	46.8080
17.0000	37.5400	13.9800	41.6000	46.8080
18.0000	37.5400	13.9800	41.6000	46.8080
19.0000	37.5400	13.9800	41.6000	46.8080
20.0000	37.5400	13.9800	41.6000	46.8080
